Model,Threshold,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
SGDClassifier,0.9500000000000001,0.6683587140439933,0.4808277541083384,0.5592920353982301,0.9814056062555248,0.5544676968616846
XGBoost,0.9500000000000001,0.7423728813559322,0.9330493000608643,0.8268608414239482,0.9997916867693819,0.9547372445917912
